번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
2186,6급,출혈,명사,과다 출혈
2187,6급,충실01,명사,충실한 강의
2188,6급,충실히02,부사,충실히 수행하다
2189,6급,취약,명사,취약 계층
2190,6급,취임,명사,취임 연설
2191,6급,취지,명사,취지에 맞다
2192,6급,취학,명사,취학 아동
2193,6급,측정,명사,무게 측정
2194,6급,-치,접사,최고치
2195,6급,치닫다,동사,위로 치닫다
2196,6급,치매,명사,치매에 걸리다
2321,6급,편파적01∙ 편파적02,관형사∙ 명사,편파적인 보도
2198,6급,치밀다,동사,위로 치밀다
2199,6급,치솟다,동사,불길이 치솟다
2200,6급,치안,명사,치안 유지
2201,6급,치열하다,형용사,경쟁이 치열하다
2202,6급,치욕,명사,치욕을 당하다
2203,6급,치우치다,동사,한쪽으로 치우치다
2204,6급,치유,명사,자연 치유
2205,6급,치중,명사,형식에 치중하다
2206,6급,치켜들다,동사,고개를 치켜들다
2207,6급,친교,명사,친교 관계
2208,6급,친숙하다,형용사,친숙한 사이
2209,6급,친화,명사,자연 친화
2210,6급,친화력,명사,친화력이 좋다
2211,6급,칠전팔기,명사,
2212,6급,침범,명사,침범 행위
2213,6급,침입,명사,적의 침입
2214,6급,침체기00,명사,경기 침체기
2215,6급,칭하다,동사,황제로 칭하다
2216,6급,캐다,동사,나물을 캐다
2217,6급,캐묻다,동사,
2218,6급,캠프,명사,야외 캠프
2219,6급,컨디션,명사,컨디션이 좋다
2220,6급,코치,명사,코치를 받다
2221,6급,콧날,명사,콧날이 오뚝하다
2222,6급,쾌감,명사,쾌감을 느끼다
2223,6급,쾌락,명사,정신적 쾌락
2224,6급,큰소리치다,동사,아내에게 큰소리 치다
2225,6급,타격,명사,정신적 타격
2226,6급,타당성,명사,타당성 검토
2227,6급,타당하다,형용사,근거가 타당하다
2228,6급,타산지석,명사,
2229,6급,타이르다,동사,아이를 타이르다
2230,6급,타협,명사,노사 타협
2231,6급,탁,부사,탁 트이다
2232,6급,탁월하다,형용사,능력이 탁월하다
2233,6급,탄력,명사,근육의 탄력
2234,6급,탄성02,명사,탄성이 터지다
2235,6급,탄식,명사,탄식 소리
2236,6급,탄압,명사,인권 탄압
2237,6급,탄탄하다01,형용사,근육이 탄탄하다
2238,6급,탄탄히00,부사,탄탄히 다지다
2239,6급,탈-,접사,탈냉전
2240,6급,탐구,명사,학문 탐구
2241,6급,태교,명사,태교 음악
2242,6급,터득,명사,요령을 터득하다
2243,6급,터무니없다,형용사,이야기가 터무니없다
2244,6급,터전,명사,삶의 터전
2245,6급,터트리다,동사,폭탄을 터트리다
2246,6급,턱없이,부사,턱없이 부족하다
2247,6급,털썩,부사,털썩 앉다
2248,6급,털어놓다,동사,사실을 털어놓다
2249,6급,테두리,명사,테두리를 그리다
2250,6급,톡톡,부사,톡톡 터지다
2251,6급,톡톡히,부사,톡톡히 혼나다
2252,6급,통념,명사,통념을 깨다
2253,6급,통보,명사,합격 통보
2254,6급,통상01,명사,통상 마찰
2255,6급,통속,명사,통속에 따르다
2256,6급,통용,명사,화폐 통용
2257,6급,통째,명사,통째로 삼키다
